district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01
LUNGLEI,1862.1792411588917,1853.214719383466,1873.92632582977,1873.3670446695692,1925.971120427263,1892.1071196184691,1898.263354568607,1867.0930050034758,1872.7704805012215,1848.8764935065083,1878.539482020358,1873.710979833954,1862.6465295839162,1863.585243238541,1873.6958188228577,1872.3068322834697,1913.575651728176,1895.3692629473662,1891.9787593928165,1873.9930287791653,1875.2205623962475,1850.1951747147943,1877.2733463516329,1875.2369136357838,1874.8288566131762,1853.6458140019902,1873.4468785409395,1871.5411705436861,1918.5529720307873,1882.8009766689224,1924.0148746186808,1875.2696279181073,1870.9265036549502,1855.792104268078,1876.1796228728745,1875.6138233138463,1874.9390291116151,1850.5804221372473,1874.3695692403141,1870.0059123363958,1898.919829588501,1890.5191630539273,1890.2481888701352,1888.1392055700499,1869.7687010148338,1862.072191661742,1878.5293958296484,1874.2060026289587,1848.1069017973764,1850.3365893552934,1874.4305169653965,1873.753400782017,1924.8830966519045,1892.4844440556901,1892.8694697693604,1865.8679638317947,1872.4098990731736,1849.2287167821864,1875.6447253501005,1875.2262362550512,1850.2016797341078,1853.7130617656057,1873.8875669614756,1868.3652947308012,1920.7967672429386,1891.1914577322436,1902.9264541303594,1887.0016754977496,1873.8470721238039,1847.394515298869,1877.1099801800262,1872.7774475253132,1862.0664075231296,1856.373093252355,1872.6070116046321,1870.6813459899106,1932.0868926339956,1884.1217918666923,1903.5909212328365,1870.7699446965148,1873.6342183206914,1848.3509929737083,1878.255101302688,1874.7850633230912,1862.3502297542539,1861.5396589251095,1877.5342224926444,1873.155890090992,1920.5325086682876,1880.6812115293665,1891.974333376154,1867.7245157658313,1871.2774978549357,1848.4091714773788,1873.9904632472485,1874.8414315892155,1875.1306123005932,1852.4358954351358,1874.3106584507389,1872.758441513576,1907.6406454025703,1885.0139739578576,1923.7608689427107,1896.9184371607848,1870.697712310296,1849.5161869284145,1879.687196547562,1877.745442739337,1872.5405817841668,1850.540739504686,1874.5102867905002,1873.3834809107836,1918.011912473075,1890.9370671943173,1906.4484760568137,1872.0925171096217,1865.3584338147648,1877.0435093353653,1872.818490588523
AIZAWL,1864.995228798832,1848.7555312878771,1873.7691087429873,1872.2526334960253,1923.1249251238178,1895.2405137072774,1912.9767827409935,1874.3809140670696,1871.4854036044003,1847.287555351574,1874.1027904513228,1870.280882100661,1865.737556366337,1853.4318637250467,1872.4800944132385,1869.7174594486978,1921.6676524585082,1890.541791067219,1916.124272751303,1875.4627929134704,1874.4282214116022,1853.315219414843,1872.512320824242,1868.7295985656249,1869.720140066619,1855.4102056353452,1870.1778423678525,1870.7331518624605,1923.1267032418343,1884.4301109260023,1919.8057858797506,1877.0114581159362,1870.8140974267997,1872.4124704113558,1871.7012916464857,1870.7967837763304,1870.6522861786657,1854.0994482454867,1874.5380914628204,1870.1566879523798,1905.9064648147742,1890.0588453772023,1925.5158632535622,1875.9985400523801,1871.980301411246,1864.6314512267443,1873.6387767140468,1870.4945174237862,1865.241635545905,1846.7760730338828,1875.8115816101883,1872.8546928088435,1922.432267150882,1897.2905451072716,1907.7844831342093,1866.5821136024213,1868.8242242126532,1848.2522688698693,1870.61547398531,1870.8826839264527,1850.567520736125,1845.3273689393827,1870.1324531556118,1872.085122075698,1918.395935530711,1892.7740693614292,1907.8726139662215,1868.6188580077949,1872.5076855209993,1845.943753730124,1871.5807254390834,1869.2460166860608,1857.9218589854333,1851.949972743275,1871.588274557734,1870.7807623961744,1923.5927793967376,1889.4557116473702,1915.004086149818,1867.59190740455,1871.8952321182874,1855.405614404997,1875.110272722861,1870.2926715777328,1867.6200888572612,1853.1394216938945,1871.277470002836,1875.3602207982458,1924.9879150515906,1890.338292352355,1907.9775099285737,1874.1685348720096,1871.0432444999144,1855.1981859604145,1872.7511236319929,1869.8699879590797,1869.826702186188,1854.006833442852,1874.4015768430172,1872.753003379797,1910.7634572150153,1891.5375514294633,1928.4858255463478,1885.7268584080125,1870.670502778148,1847.6000523316557,1876.162959959415,1874.846018924577,1869.2016648421122,1852.925126415745,1871.0588655344277,1872.063046822234,1923.5271467615628,1894.104444149121,1920.4895241153847,1869.595300884828,1872.4771809327158,1871.8997600716882,1869.0435859123875
CHAMPHAI,1851.4714402835132,1857.2184206599252,1875.2833454968513,1874.2790676730842,1915.931087311162,1897.8206945750342,1910.5365245357184,1867.4813927535113,1873.6263434665443,1861.3787796205015,1881.4325148971807,1878.0511387457218,1851.342414698454,1860.8726038406157,1874.3752042979695,1873.7741228933885,1916.425087947753,1896.135179818854,1911.180563227874,1863.6582202613051,1869.6334822648962,1846.6083147252666,1881.1128587529072,1877.7691267975003,1879.422622619861,1852.6346637796928,1874.927941555879,1873.1471922223586,1919.5348563381938,1895.5864079858854,1924.6258803837027,1870.5805047277593,1873.9303078515152,1850.0786544859682,1880.7337069884338,1880.4724164399536,1880.117928770192,1853.509029044186,1875.2504852476839,1873.0920837562376,1910.402448819812,1893.4461592047028,1920.8294663705603,1870.1131681952186,1874.6668500044264,1850.8712918990605,1881.4991488619319,1879.8958796796649,1878.718585235861,1855.115801751019,1874.9619411031708,1875.3680265095438,1913.5768728804646,1893.8454317849,1900.8984573948173,1864.6397814381794,1866.891246937058,1850.2328445388343,1880.0514490401529,1879.992399918595,1851.0239960556676,1856.024278291639,1874.814995603081,1867.7172532832108,1912.9169903708528,1892.2677980023482,1902.97937641528,1901.313151579492,1867.0666702714755,1850.1986481302918,1880.6158303900465,1875.8506260227289,1851.2842869454762,1857.1446860494796,1875.4896538172973,1865.3611978196668,1924.6300900307972,1888.1496261943778,1908.4331080974239,1864.5937446225373,1863.0887552986198,1869.7060171641585,1882.376791354356,1878.5914030607803,1850.879443541642,1863.4001201581439,1862.878039892583,1878.9250632988962,1916.27382183757,1890.288575664336,1902.4695441996394,1866.9877495719873,1862.5391771747297,1849.9432165136388,1874.123898892084,1879.1559571658026,1878.6618570229334,1853.48066669508,1875.2740665926572,1875.1644396142776,1907.345914848966,1891.358388279677,1924.6444739915564,1908.0866328479435,1874.89205869067,1850.3355169714412,1883.6758245619128,1882.6063227302573,1879.4182996178035,1852.391256836909,1866.4497145641512,1874.5325508121937,1916.834959133332,1893.4933077382414,1897.783407571675,1873.764324496689,1850.3900444690896,1880.9998833145053,1877.8412412709936
LAWNGTLAI,1855.2398330336505,1860.7604257763842,1872.5743158432083,1872.9501920239886,1925.4600829438593,1894.1082863713887,1896.4592956983622,1866.395418643739,1871.9787478706971,1848.9821747455037,1880.794661961783,1874.7449198247466,1856.2094763130042,1869.603242927291,1873.2477227126094,1869.9853682613043,1916.414576469076,1895.823313789217,1890.090518525115,1865.134822744068,1875.6419279320662,1850.5948303848788,1879.512236599331,1877.127182226515,1876.537842176621,1852.483655728489,1873.5620924202146,1869.5243339624674,1918.8906008097274,1894.2241556195197,1921.6657677483215,1865.9756817872053,1871.8855040689773,1850.0121698436944,1878.8550145770157,1877.5334492189668,1864.4786801170821,1852.9365955902806,1873.0956127204547,1870.2475734901839,1908.8361309825732,1891.6331753215206,1892.9895224081022,1877.0654903532584,1871.095160678423,1853.5076201865952,1881.473276083842,1876.7871623477306,1848.8263017703762,1852.2594643007421,1872.623390050801,1877.7749328489056,1924.1823539476104,1882.714073413588,1889.3625903816944,1864.6671386287958,1873.0344279314238,1849.941221402601,1877.6024756393117,1876.9226043490607,1850.5332915220574,1854.1712391321582,1872.3081164612308,1868.4559338718377,1920.4176611841042,1890.967047370104,1895.672893910445,1909.7825047986878,1873.3988290345712,1848.3697443734072,1878.3103725924182,1875.09485433408,1857.0468284933713,1866.3304675376032,1874.291148584916,1872.2113700258474,1934.1677506259537,1878.2287610590997,1899.073860074033,1865.880153466534,1873.5214284594708,1848.4906085384448,1880.6983415439358,1875.6877525115215,1855.4499175206079,1866.6031770271638,1877.4206458091344,1874.7206902638018,1914.7834553092748,1883.3165886136328,1888.9939442621294,1866.095638807892,1869.9297476313282,1850.6806098281097,1873.443218334871,1876.830462160869,1876.6522672162093,1851.5347164403713,1873.5813069619853,1872.7267008002143,1904.5257324004897,1881.1991156941215,1912.0052928988964,1918.169680551763,1873.2605732683483,1851.3112170375514,1880.5221003207485,1878.1881547209614,1862.9254388629208,1853.2348935478785,1873.0473686225614,1873.0219191647307,1922.0041260629785,1891.1986403931182,1898.3473771632887,1872.4341952685131,1855.6263867787388,1879.0611988138373,1874.522987884818
MAMIT,1878.0489117756067,1850.1227873416628,1875.7552943183518,1874.8821482644464,1916.2161241920269,1893.3741800907237,1888.2941596555984,1876.2039948872414,1875.1573775140112,1849.981651385736,1881.695115224324,1878.2924286168745,1877.134021092476,1854.5341514813913,,1874.9013683754313,1908.4418678560125,1894.68141345576,1904.3713032273172,1927.3647338580213,1875.0478605897515,1850.2403538161846,1877.9700302127933,1875.98034413154,1878.1216161025893,1852.5579871114007,1870.840713105297,1867.1001012643305,1915.7865556811048,1890.8894034691448,1901.3982809902807,1874.4156776519533,1871.3410478503467,1864.651711685655,1878.6500377336733,1879.1846482171754,1880.59008455374,1854.8863994918295,1876.4519229439795,1866.5432569454217,1896.589522551903,1900.5115567035082,1931.5635974715058,1868.5857744035397,1866.5817556418158,1879.3260631642347,1880.3390515526698,1877.97823204641,1849.4972051170596,1855.6187881838712,1878.3859383996532,1874.3987884776855,1924.2069015237598,1890.0827837704683,1901.8952892771072,1865.0695532040913,1874.3252062626211,1845.4253341553178,1879.3227193010305,1872.4394753056129,1850.5428461625327,1851.9234228903642,1871.3044659080924,1864.0003812199516,1919.6347628744422,1891.9826937450255,1903.2032255266683,1866.751197630259,1876.3189885313209,1849.6888434858383,1879.4418606767904,1877.1678793958233,1866.568729290456,1850.111985282942,1870.3380783402004,1871.6454883240049,1918.0623407078533,1889.280840877721,1901.5581064670225,1903.6994979092565,1875.1074781252314,1850.883149141161,1880.1102344409085,1878.0976608629996,1878.3125574828753,1849.5657139157406,1875.2291488680619,1877.9632453251984,1921.2814542065357,1892.2732521750263,1904.7888960873431,1881.5899396220948,1874.874234209875,1849.8330128210625,1881.1304220938646,1876.3757679994403,1878.051787347179,1850.2803873683076,1875.873205865631,1866.433510459818,1918.8669832478122,1899.813858915492,1908.2385270642694,1874.330015891091,1871.9653328431914,1849.945614301114,1879.9573156588242,1879.639388392689,1877.9582618107488,1854.492617088088,1876.4032449028548,1867.0184273962204,1921.4462358590579,1895.456447005838,1916.6996311479543,1873.577579313714,1881.5850767235925,1881.782888295384,1875.5209220138574
SERCHHIP,1857.7774836697643,1854.2025987048157,1873.5239377507005,1873.0856021674424,1919.000899054553,1893.23244781775,1907.6158478371744,1866.5766726701684,1872.4030589163303,1848.902604415139,1876.34796303858,1872.7602651383572,1859.062381103147,1864.2367425898194,1872.7500141279754,1871.1955001125039,1915.8012583938635,1894.4611192611792,1898.6618141553597,1865.6888010408054,1873.803481513087,1848.1471800865172,1875.7698456500802,1872.6571300304345,1873.1453201824227,1854.052815536103,1872.2772245860315,1870.806430029265,1919.346406394845,1881.928755231447,1928.2233534412367,1873.8006080209775,1871.1670680400396,1860.6049780502967,1875.0612715642096,1874.6554969876802,1874.2474027685844,1853.6071495375697,1873.9646977106047,1871.283845303415,1904.2329750114507,1885.5564754473298,1926.1084646762479,1896.7400119372962,1870.553104608902,1857.6458422941273,1875.8013274374846,1873.317203367734,1864.745115183301,1851.1006942497704,1874.444350619498,1873.1629809428568,1923.34226112044,1901.1451904319856,1898.536734560457,1867.8764501652568,1872.9286931560302,1849.3625874378756,1874.3718014148046,1874.526076893803,1850.7810804746114,1850.2769100662647,1872.1261208697613,1868.1908462604238,1913.530415172474,1889.9417911278342,1908.9227888874389,1891.3066274040193,1871.5122519730915,1847.5158903161764,1874.351694440486,1871.2908105472932,1858.8941302933788,1854.140394836976,1872.2223230309523,1869.2490169920034,1929.0190241142477,1888.9741656422896,1903.799898222583,1864.2104229985378,1872.6920667732295,1848.3861158499706,1875.9617649442891,1873.3137459273419,1858.922735759382,1865.8681071187912,1874.8669713953557,1874.6475109879561,1925.2726009681314,1888.7226365006507,1899.3745864353004,1867.6194731140663,1872.0290993865106,1848.2583531475807,1872.4674692058127,1873.8963190718655,1873.0210372893462,1852.9391139291072,1873.6524263743236,1874.1312160984212,1899.6947248619256,1894.0420271920557,1928.82567613908,1904.4274183326943,1870.894939720415,1848.6171307337531,1880.0403589644163,1876.916678892734,1873.3162896280828,1851.8192311819262,1873.9142507858196,1872.5641336590672,1919.3659513863176,1891.5538916092705,1907.2315565785977,1871.2856405370471,1861.1103992619064,1875.1717358814965,1871.4225524365202
KOLASIB,1875.3291977662807,1849.594773452604,1875.4039422791052,1873.7363387501339,1919.8458791990217,1893.2130261572927,1897.7927821556377,1872.9960562043352,1873.657709220658,1848.3787062085376,1880.4877305587436,1876.7892350181398,1874.5926414781864,1853.595444788043,1874.3152192681073,1870.0711126285157,1918.059643548593,1890.1704411441035,1927.236266921794,1879.6046222283312,1874.8894615761108,1849.892773806858,1878.5266509243663,1874.973010827834,1876.1652038176835,1855.3257482727906,1872.2690548692005,1868.828950098292,1918.0988091485472,1891.0879294804797,1899.755888773812,1870.687171648237,1873.7513516956103,1875.0926879549884,1876.9605237448468,1877.246668374155,1878.231991323581,1851.3794693617147,1875.1399930116768,1869.3863593083697,1899.482039054633,1888.7225842375574,1909.0775514077282,1866.5803959666368,1875.0348416808647,1878.250217265258,1879.6174626462384,1876.0198004143654,1871.7819440040705,1852.0284837577294,1876.8587451080919,1874.7694306025735,1917.578910461913,1899.853250756058,1912.1936561073096,1866.0492126454046,1871.376702179093,1849.9561257224739,1878.6963342969377,1872.6564985418913,1851.5543981511746,1845.5359585218669,1871.3219681761072,1869.371551602689,1908.0708851431946,1896.456312431811,1904.7920291942557,1866.827965795614,1871.1404182883698,1848.398895749457,1879.6645501605021,1875.7730393158226,1850.9737939933218,1850.886816076731,1875.6054424346803,1871.6199343683693,1916.675331718898,1897.056032829116,1921.3568020124821,1889.6219511944807,1873.346163879704,1848.773680875992,1881.4445373894314,1876.114568586002,1876.6761094249728,1850.7930811143472,1877.524750913786,1878.5711750520725,1918.6562719822298,1892.9142669809983,1914.7436433634816,1880.5575610702313,1875.5898499171144,1858.0360259497559,1879.000736546989,1873.986968306206,1875.5910153631064,1851.976927261471,1875.6672556286337,1868.941666644117,1905.9222865430986,1886.4151535550127,1917.4450367608863,1872.6890172581404,1872.7353028919051,1849.2951195008511,1877.6904611447328,1880.05594304673,1875.958549366049,1851.7952749233098,1873.2816884446374,1872.0895560627837,1923.9011892290428,1898.890912188129,1915.2740920229455,1872.219327615244,1878.6740316688613,1880.015582459387,1873.9914307047093
SAIHA,1851.0225271394247,1859.4405765895933,1876.7985371625978,1875.695781103052,1924.0176362499108,1895.3349376092706,1894.3287491257952,1864.6896630137267,1873.0578682250487,1850.727015452062,1883.1372318937224,1879.2914780219435,1850.9114130610196,1874.4312385971054,1876.1302133697761,1873.1756178521155,1914.9308729150978,1898.0266305229106,,1865.8642862498095,1874.0020644438046,1854.2058082287058,1884.2417182927381,1881.8885152120542,1881.2266384556922,1852.02823738393,1876.8145024365476,1873.609615104501,1917.5582460306514,1896.0562786419623,1922.716386094713,1864.5539383026774,1869.4655956334595,1852.01508730366,1883.1306773832205,1882.030380168971,1878.5129266541617,1857.5753749623705,1876.1935150365073,1865.5927372342437,1911.0173970644116,1888.7214027306168,1890.3217274641645,1896.3742009737048,1874.6409286243286,1849.5220809484417,1883.7435029137312,1881.743734549472,1851.099729506052,1856.9664673008208,1874.4006330099064,1876.7909800571317,1921.4201714568178,1890.666626575761,1883.3915328496564,1864.9947366542292,1872.6925587154378,1850.9769369819599,1882.237852137702,1881.4550585769864,1850.6525249844017,1856.6309139901264,1874.9697718942446,1864.529109922628,1916.164958407086,1894.6506696309596,1893.3281327098541,1920.0310225823378,1875.037404649194,1850.2249085670771,1880.25613241571,1879.694888212365,1850.7799248419676,1870.3338687987227,1876.8851021731339,1872.9998704945065,1935.1827637149547,1888.999851875621,1895.6854598656917,1864.1577749970113,1862.087435601995,1850.2107254343814,1883.8978198512432,1881.5079051435132,1850.5465834153545,1873.845739069815,1878.6686606243663,1873.287288087357,1911.7886651606125,1889.5808121332957,,1867.3231167858846,1863.165725496512,1853.4514811673198,1877.8541446109746,1881.719077550783,1881.5606120805999,1853.0161686337167,1876.7314265724706,1876.8533157162933,1898.4978365662103,1880.237098135601,1904.4987512656369,1934.9663324922103,1875.7829151484518,1850.3792582747346,1883.5109577996488,1883.538507313334,1877.2497254597452,1857.0336663014632,1872.6101013123302,1875.0945748790907,1920.535643923427,1894.5309513995742,1895.2089215489814,1875.4328575461057,1850.075669137691,1878.6027011559952,1879.8206565155892
