sn,State_LGD,DISTRICT_L,FID_1,District_1,STATE
634,9,127,44,BALRAMPUR,UTTAR PRADESH
635,9,128,46,BANDA,UTTAR PRADESH
636,9,129,48,BARABANKI,UTTAR PRADESH
637,9,130,51,BAREILLY,UTTAR PRADESH
638,9,131,55,BASTI,UTTAR PRADESH
639,9,179,61,BHADOHI,UTTAR PRADESH
640,9,132,69,BIJNOR,UTTAR PRADESH
641,9,134,76,BULANDSHAHR,UTTAR PRADESH
642,9,135,84,CHANDAULI,UTTAR PRADESH
643,9,136,94,CHITRAKOOT,UTTAR PRADESH
644,9,137,112,DEORIA,UTTAR PRADESH
645,9,140,118,AYODHYA,UTTAR PRADESH
646,9,138,134,ETAH,UTTAR PRADESH
647,9,139,135,ETAWAH,UTTAR PRADESH
648,9,141,136,FARRUKHABAD,UTTAR PRADESH
649,9,142,137,FATEHPUR,UTTAR PRADESH
650,9,143,138,FIROZABAD,UTTAR PRADESH
651,9,144,144,GAUTAMBUDHNAGAR,UTTAR PRADESH
652,9,146,145,GAZIPUR,UTTAR PRADESH
653,9,145,146,GHAZIABAD,UTTAR PRADESH
654,9,147,151,GONDA,UTTAR PRADESH
655,9,148,152,GORAKHPUR,UTTAR PRADESH
656,9,149,158,HAMIRPUR,UTTAR PRADESH
657,9,661,160,HAPUR,UTTAR PRADESH
658,9,150,162,HARDOI,UTTAR PRADESH
659,9,163,165,HATHRAS,UTTAR PRADESH
660,9,151,177,JALAUN,UTTAR PRADESH
661,9,152,182,JAUNPUR,UTTAR PRADESH
662,9,153,186,JHANSI,UTTAR PRADESH
663,9,155,197,KANNAUJ,UTTAR PRADESH
664,9,157,199,KANPUR,UTTAR PRADESH
665,9,156,200,KANPUR DEHAT,UTTAR PRADESH
666,9,633,204,KASGANJ,UTTAR PRADESH
667,9,158,206,KAUSHAMBI,UTTAR PRADESH
668,9,159,209,KHERI,UTTAR PRADESH
669,9,160,230,KUSHINAGAR,UTTAR PRADESH
670,9,161,232,LALITPUR,UTTAR PRADESH
671,9,162,235,LUCKNOW,UTTAR PRADESH
672,9,165,239,MAHOBA,UTTAR PRADESH
673,9,166,240,MAINPURI,UTTAR PRADESH
674,9,167,248,MATHURA,UTTAR PRADESH
675,9,168,249,MAU,UTTAR PRADESH
676,9,169,251,MEERUT,UTTAR PRADESH
677,9,170,252,MIRZAPUR,UTTAR PRADESH
678,9,171,253,MORADABAD,UTTAR PRADESH
679,9,172,256,MUZAFFARNAGAR,UTTAR PRADESH
680,9,173,286,PILIBHIT,UTTAR PRADESH
681,9,174,290,PRATAPGARH,UTTAR PRADESH
682,9,175,294,RAIBEARELI,UTTAR PRADESH
683,9,176,304,RAMPUR,UTTAR PRADESH
684,9,177,312,SAHARANPUR,UTTAR PRADESH
685,9,659,316,SAMBHAL,UTTAR PRADESH
686,9,178,317,SANTKABIRNAGAR,UTTAR PRADESH
687,9,180,326,SHAHJAHANPUR,UTTAR PRADESH
688,9,660,328,SHAMLI,UTTAR PRADESH
689,9,181,333,SHRAWASTI,UTTAR PRADESH
690,9,182,334,SIDDHARTHNAGAR,UTTAR PRADESH
691,9,183,341,SITAPUR,UTTAR PRADESH
692,9,184,343,SONBHADRA,UTTAR PRADESH
693,9,185,354,SULTANPUR,UTTAR PRADESH
694,9,186,371,UNNAO,UTTAR PRADESH
695,9,187,375,VARANASI,UTTAR PRADESH
696,9,120,403,PRAYAGRAJ,UTTAR PRADESH
697,9,164,529,MAHARAJGANJ,UTTAR PRADESH
698,5,45,19,ALMORA,UTTARAKHAND
699,5,46,33,BAGESHWAR,UTTARAKHAND
700,5,48,82,CHAMPAWAT,UTTARAKHAND
701,5,49,110,DEHRADUN,UTTARAKHAND
702,5,50,163,HARIDWAR,UTTARAKHAND
703,5,51,260,NAINITAL,UTTARAKHAND
704,5,52,285,PAURI GARHWAL,UTTARAKHAND
705,5,54,309,RUDRAPRAYAG,UTTARAKHAND
706,5,55,359,TEHRI GARHWAL,UTTARAKHAND
707,5,56,366,UDHAM SINGH NAGAR,UTTARAKHAND
708,5,47,467,CHAMOLI,UTTARAKHAND
709,5,53,565,PITHORAGARH,UTTARAKHAND
710,5,57,606,UTTARKASHI,UTTARAKHAND
711,19,664,443,ALIPUR DUAR,WEST BENGAL
712,19,305,453,BANKURA,WEST BENGAL
713,19,306,454,PURBA BARDDHAMAN,WEST BENGAL
714,19,307,464,BIRBHUM,WEST BENGAL
715,19,310,470,DAKSHIN DINAJPUR,WEST BENGAL
716,19,309,472,DARJILING,WEST BENGAL
717,19,317,477,PURBA MEDINIPUR,WEST BENGAL
718,19,313,490,HAORA,WEST BENGAL
719,19,312,494,HUGLI,WEST BENGAL
720,19,314,500,JALPAIGURI,WEST BENGAL
721,19,308,515,KOCH BIHAR,WEST BENGAL
722,19,315,517,KOLKATA,WEST BENGAL
723,19,316,531,MALDAH,WEST BENGAL
724,19,319,540,MURSHIDABAD,WEST BENGAL
725,19,320,542,NADIA,WEST BENGAL
726,19,303,552,NORTH TWENTY FOUR PARGANAS,WEST BENGAL
727,19,318,561,PASCHIM MEDINIPUR,WEST BENGAL
728,19,321,569,PURULIYA,WEST BENGAL
729,19,304,593,SOUTH TWENTY FOUR PARGANAS,WEST BENGAL
730,19,311,605,UTTAR DINAJPUR,WEST BENGAL
731,19,703,631,JHARGRAM,WEST BENGAL
732,19,704,632,PASCHIM BARDDHAMAN,WEST BENGAL
733,19,702,633,KALIMPONG,WEST BENGAL
