district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2020_06_01
NORTH,1873.195372962291,1849.8289956575054,1862.1572702799049,1855.0712258709364,1911.4649468298726,1918.57799444705,1929.6976607056981,1866.1037714102497,1875.6473553221285,1875.7979033202525,1874.1508800624056,1873.3324867375698,1872.1220667389427,1849.3954563106877,1869.2917979582583,1857.6316015803618,1903.5316810235545,1919.6698570588017,1929.1097794712339,1874.1520287947828,1861.1860766429907,1874.9943309817133,1873.7348052214927,1872.548821974842,1872.4500145973798,1851.7086073300247,1856.2743338509033,1858.0157393506875,1904.1502035363435,1923.1693797032717,1929.3162601481301,1867.2132449523513,1862.3204371441861,1872.725953484427,1873.2609332036088,1873.8820385458903,1873.3282826685136,1853.996152384232,1859.166302156025,1868.3966811322132,1901.5207890836257,1922.9821221910645,1921.7465719172792,1867.0772421536656,1854.446967677085,1869.1678899716828,1872.9725406923342,1873.491696305497,1873.6658191294769,1850.3802482407034,1857.875301508575,1852.4383876113964,1905.1610925640232,1921.9517172391013,1926.3291471254333,1867.8387057253904,1872.0516821684482,1872.93051472422,1872.1692520802335,1872.7379230253196,1872.8959102394717,1849.809381249033,1853.4281082539644,1861.8763174615308,1910.400189337756,1914.814603051001,1925.4230586470135,1866.550686622109,1868.3466225674101,1872.0993725441415,1873.06738807111,1872.5221940414992,1872.0579351944216,1848.1579493285055,1862.375150202372,1867.7995698349803,1914.7490737137678,1927.7776407787592,1866.8401054049366,1873.1956968714112,1874.2052547495753,1873.0037084562546,1873.2684809190891,1873.3370792748476,1850.3900758820578,1864.961384292768,1859.203416135345,1903.1658291863082,1920.2563002210486,1931.4202150569492,1874.5749013242485,1857.5226252980847,1872.36777263067,1872.3034279914662,1872.2844825094728,1872.6277150133174,1851.1583444877683,1857.230689153066,1859.8250028097216,1905.1124891186487,1920.314617171533,1921.9215985250712,1870.5021298754987,1856.187235288857,1873.124668206396,1873.2880977461607,1873.594003152415,1873.625994478796,1852.1771911988576,1861.114207254169,1853.6533318136642,1903.1750226748168,1919.0340861712634,1920.524298979718,1854.658189871611,1874.61274116738,1871.523380006786,1874.5903066140468,1873.34280112855,
WEST,1876.4267066069742,1848.2188348822178,1870.8504376498777,1853.8998769946854,1895.0317325862402,1930.4722220192439,1927.7112871266256,1865.8820268727634,1876.2929501619096,1879.6309054482185,1878.0274259570663,1876.93043538944,1875.3203234773341,1851.403402101507,1876.2821942166481,1841.8980821352359,1900.7102969164412,1922.2070643765721,1930.4646417617523,1878.5126736488705,1878.2618328151789,1878.203815363585,1876.0567713832404,1875.5814287369715,1874.3019508956722,1853.411769921938,1860.9919450668522,1869.0434389171533,1909.198173047027,1926.232681264365,1932.2885951648645,1867.2547798594442,1873.492276117617,1877.5370534255153,1874.806521331115,1877.1299117113738,1876.4574131761196,1853.1341094652912,1853.434684311049,1871.0825652715735,1911.198909014708,1932.497909288227,1932.058287193208,1868.124412054347,1856.287713347309,1850.19551630051,1874.4775536217276,1876.3482400386297,1876.5765589492823,1850.470273058947,1868.6472634667045,1850.2855608583031,1911.4302157736277,1924.2457145082283,1925.7737285095975,1865.6008287762872,1870.1019059746445,1875.8472288967907,1875.9808291413462,1874.8443325608912,1875.3162062499946,1849.0611870719752,1844.3925218903503,1866.131561949796,1898.3116483944148,1928.780679468444,1929.4531667625174,1866.4357209711054,1876.6058630258383,1873.607747134987,1875.5127588973314,1874.8501029414074,1873.5944911590038,1850.4189924503387,1870.9598684655116,1869.4985267452344,1917.6862961731147,1931.5799589574858,1866.5550400581303,1868.7440842729723,1877.9442098162665,1875.5402573056429,1876.1997677075174,1875.4590102203354,1851.9305575759854,1868.3268561136595,1848.1319436813633,1907.7158004584312,1924.4958218241316,1933.5472119463648,1878.947791817272,1870.3876372944897,1875.3652445055184,1876.337334374804,1874.1425893285987,1876.0670685770235,1853.4389357030686,1868.939309049727,1847.518253964657,1906.8620779467346,1924.98067706794,1929.463184005745,1870.836392745649,1857.6025648190146,1876.0691263477645,1876.0758596998157,1876.4837757848127,1875.9554994630976,1851.1264095775932,1869.0756047068026,1863.9872442876047,1897.4081552088296,1926.9130575272738,1926.4456562762023,1851.9341176723683,1876.0628548151537,1850.2239058039622,1878.146937103742,1876.5669517075366,
EAST,1874.5649488412914,1851.3586616213815,1874.7655780799587,1873.059948951412,1891.7795502086226,1913.747002577188,1928.142753645506,1866.4761311185846,1871.9757333483462,1878.3077872686367,1875.8197113403655,1875.2700934296674,1873.9209980579294,1850.85628518191,1874.8284275633853,1869.927124575174,1903.434891036589,1918.1121674074761,1931.8495367803193,1866.098132336055,1863.100566019497,1876.810814013195,1873.7564150564754,1873.0452672229414,1873.0099662109728,1849.7455505821883,1857.4118772749673,1873.2182416436515,1911.505845178997,1922.1830601449979,1931.6888386534902,1878.9259346217332,1873.8673727835767,1875.7672203266534,1872.2686493445676,1875.3836814342526,1874.8569439132505,1850.189647389453,1871.1842817966174,1870.4997242925863,1909.9986709294622,1926.636129870831,1929.081980409289,1873.185785757544,1851.8364231099345,1872.9380459433337,1872.7951392193422,1874.1734311721457,1874.9563977766413,1851.0285756305805,1873.9583931544003,1870.2488491981012,1909.8930749355404,1927.6538679782198,1927.4768437349073,1866.0620535549992,1869.9598841671784,1873.7931813326786,1873.0163457331969,1872.2489804941642,1873.9711159020733,1850.607124668569,1867.4084238466671,1869.039094816434,1902.1684343017214,1911.9229427428784,1929.319395534459,1865.799510015274,1874.9597607380351,1871.2237634736919,1874.3017281097814,1872.9858454294613,1872.1835900285305,1847.4005651117322,1874.9767236466425,1872.9911038115265,1928.3729804553448,1932.924763076354,1866.1177985987354,1870.983130335146,1876.2473574663525,1874.7649389177454,1874.5281835656963,1873.657927158752,1853.5341526352324,1873.0318695653905,1878.6949085971241,1906.0802406609237,1920.375793763829,1926.3796350270432,1866.1281903879653,1857.4733625838928,1872.6785114533468,1874.271621627929,1872.527176148925,1874.121262217651,1849.8365942453506,1859.969886457446,1867.9120170102594,1905.7028106959879,1916.729088938498,1923.9030903490952,1880.3072607327304,1857.4103768876832,1875.2663035209046,1875.0580754168357,1874.8034410339628,1874.7575946986037,1851.2689706082103,1870.1126320850622,1873.4813595142762,1898.4321595379786,1925.97321505576,1921.0249830918267,1867.3591756105736,1873.939642405335,1874.7177496629697,1876.183232060135,1874.8560104980422,1907.9351380058056
SOUTH,1875.4203730038623,1849.6156382034023,1872.1612126543384,1864.2012932662296,1885.2578856263704,1916.0444072122782,1927.86981939327,1865.7705448095057,1882.3866975135775,1879.832816496307,1877.3794623262168,1876.000730452217,1873.840210601943,1852.5420094839658,1877.8825930523035,1838.5487814080504,1895.2683297789667,1922.2374003644525,1929.0962167398625,1871.5459350572592,1877.6609401168498,1878.6766238110986,1875.3090517735052,1874.091100909334,1873.0896318771343,1851.7843709593735,1860.881784489265,1870.9342364610632,1908.9358519189404,1928.017381603262,1929.3430572299728,1874.2413898089999,1875.3395926104363,1877.473740163299,1873.4110137094383,1876.1975585743098,1875.4634576947096,1850.5126043658715,1860.8072959509373,1876.7554875364845,1912.1711855778024,1930.9685960519246,1931.5166623710693,1872.8286726923518,1853.0277941882964,1851.872605380476,1872.8017683957873,1875.445793973989,1875.1624331073683,1850.2597623863821,1868.185740367179,1858.4953656508496,1913.124249826887,1922.5350738973266,1926.8196263912318,1868.7403076721948,1876.717810176548,1874.9459152740835,1874.8309879820151,1873.5413798708469,1874.1449250484884,1850.1900336216681,1834.689095673596,1865.4974628877671,1893.4729189549137,1917.1842159551456,1929.6179183716163,1867.134575302025,1880.1945623967968,1872.4910029289165,1875.3053591714358,1873.2644271535896,1873.008402089627,1845.2394237240096,1878.3986648336415,1862.8213101325612,1913.8571843225973,1936.4451309214028,1865.705347420477,1854.7078343002663,1877.7716580203378,1874.4063542424242,1875.186381267722,1873.9480713740554,1855.1838466107833,1870.5028691688633,1857.3145421063166,1909.9790496333742,1923.3913407131072,1932.299628920118,1872.216416119496,1864.4018228255452,1874.5458578359833,1875.4852513349822,1872.6030567604644,1874.9389210893264,1851.5782442713519,1869.0860934783373,1849.0413663338281,1904.8683445156441,1924.1336027026416,1930.4248327634605,1878.1410419111528,1857.633738940792,1875.4733955075274,1875.3017765482402,1875.5398026805756,1875.1303415291868,1850.835071340841,1872.982861485603,1866.8906985061433,1888.9958427924116,1927.8610135483793,1927.0584691735903,1855.9058252783436,1880.1590233984987,1865.6829635353238,1877.6133744249912,1875.5015859296134,
