district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2018_08_01,2016_07_01,2016_09_01,2019_08_01,2019_09_01,2020_06_01,2021_08_01,2022_07_01
DADRA & NAGAR HAVELI,1850.8834063642748,1856.3485663188567,1874.570707231393,1867.986879866924,1891.19528586044,1890.931554664011,1883.1058387359403,1918.611891810394,1873.4133404926229,1849.3757399702336,1876.7134835638192,1876.6835702092706,1850.64454964931,1881.2321544865224,1874.6118759907192,1863.6085078313222,1900.3703375741354,1893.65279389425,1883.9873437739452,1912.1388864247742,1873.5821618960613,1850.6658954500444,1882.571593151421,1876.5797405057815,1849.7466386286796,1872.918887684257,1874.6556364778585,1875.0445840216478,1919.1493709685064,1889.8925738762985,1850.2671856937461,1876.6998428956701,1876.6903327159184,1849.6056649465067,1874.293936661263,1874.1304105426318,1875.11536296106,1917.1499880479817,1886.1162664043263,1881.8157759671626,1926.1584088372063,1874.3514218131356,1855.4644304505573,1877.4152889404393,1878.763222300601,1865.2866583089667,1856.8371177807342,1874.4653153046079,1861.443530264899,1906.696385487623,1878.007440226486,1874.4183985513678,1849.3811155895307,1876.7125084462614,1872.720583302058,1850.1510571164629,1856.9697492757148,1875.4366473943132,1877.0683961354425,1899.5889455704776,1891.8825215119514,1879.8059273368008,1851.7087097114756,1884.9886164353463,1879.7586990144596,1849.7915798630784,1857.1929976262131,1873.8427889373877,1870.4288089032098,1893.9873838778678,1876.95044295872,1903.8898004476177,1866.5576657164665,1850.2914631031138,1876.694742327004,1874.7092227384478,1849.9795324516788,1868.0592988544693,1875.182656129274,1875.914423899492,1926.3640951424184,1890.4930718541536,1893.8764555111873,1865.5332371728605,1850.5194964556224,1876.757278177564,1876.3342717946084,1850.2681216586764,1872.2416702511232,1875.824739713124,1875.5048146088207,1915.3679846876885,1886.7603991908045,1913.4882405371156,1873.5266597439672,1850.240520003715,1876.6550955266807,1877.8454737207771,1850.8400704161586,1876.3891675282998,1877.3016906180926,1875.2436344839246,1922.4231310567004,1887.2696541298358,1871.8343912759904,1873.9356134388706,1851.398929286903,1876.7478273877182,1876.493095393868,,,,,,,,
DAMAN,1850.8601113437928,1856.7006432041246,1876.3621013974944,1867.7681156269857,1886.0958749087185,1890.5700512252577,1892.9744705630478,1916.1210919993164,1881.1399256458892,1849.608158346525,1876.5590854810848,1876.941402980988,1849.610383448787,1879.5719779263325,1879.7475227578657,1862.2309974186373,1902.3849650155664,1885.675377165133,1886.267913456907,1867.3237480654416,1879.7971504838042,1850.8326987893677,1885.3783423650677,1877.3849177884047,1849.53550183964,1879.7475227578657,1878.1547468755114,1877.8712151609695,1916.1459964474159,1888.0490183458944,1849.8505181088901,1876.5184441878782,1876.7424947754225,1849.6860723440868,1878.7431967328419,1877.8199074162299,1877.607102937767,1917.100886415285,1889.9507196748032,1886.6577138972548,1918.0478494605875,1880.3966474356866,1857.1983984318942,1878.0148352513581,1881.3983526706818,1849.5725232173988,1856.8591879880616,1877.9659764065675,1877.3569944688745,1916.266328212448,1880.2913183580495,1880.715551209299,1850.1464439729307,1876.5253521972406,1875.0491512841963,1849.6909961863462,1856.9676965489816,1877.498393756314,1871.8497707568054,1902.1291423028197,1893.4056977262212,1882.8735799472977,1853.6102649561908,1878.174207591311,1881.7861628708479,1849.667458270799,1859.7281009356802,1880.1614354839892,1868.6533748755887,1890.1999610638136,1882.055212007192,1910.6415458725537,1866.0791454208686,1850.6117222230382,1876.4924201698768,1876.7622160353899,1849.7213223509887,1877.5246059324913,1878.197804313391,1865.8312477184995,1928.2749555148648,1892.6229066474357,1896.2798156516078,1863.3272013759326,1850.3450794669075,1876.5083361372199,1877.9590022340628,1849.8997342744915,1879.5193144768723,1877.9169569950154,1877.4742620728991,1911.265346070848,1884.4393811174275,1876.058048607991,1863.1745989944995,1850.247638668081,1876.5957391081151,1875.1347250471197,1850.4908832291192,1878.0564703472216,1859.9094630831485,1877.8928070819788,1906.072672604628,1888.4497152955803,1874.5128828624063,1880.9624539776305,1856.439468785121,1876.5930709494419,1877.7321980455672,1866.2849226054082,,,,,,,
DIU,1850.105929928161,1873.094952675019,1876.090651171148,1860.6278889498722,1912.562722837565,1891.6869981770608,1898.1762197611752,1914.6285815763563,1875.3782236539153,1857.4805129308788,1875.9523795218402,1879.7035702751973,1850.4873722678815,1857.431448013803,1876.21798761255,1875.0123000315455,1919.8896968394406,1892.8474884396144,1873.4213694775951,1867.3484246344085,1876.218506210954,1853.0031710800376,1875.986839791374,1875.1526962558032,1850.9558799944668,1857.892815706751,1876.0150442670506,1871.0830769006143,1905.2108657455988,1880.2354870669863,1852.9488772591876,1875.8706722754519,1875.4850905480714,1850.09853950427,1857.7306733179257,1876.0265306423667,1864.2131415638953,1898.289067192267,1884.2974686011016,,1870.1744908412647,1865.2700750154902,1851.5984026438218,1876.2119379102683,1872.7348645282846,1850.2512886293782,1874.9685275149359,1875.9852337015195,1864.7389102178759,1893.466286491258,1898.2260915967581,1876.0137024057344,1850.2181731080502,1876.2936822289143,1876.7552266963057,1850.4799772766005,1875.3958214195582,1875.9131453401765,1875.9753262781128,1916.8460169133537,1896.6926231565292,1891.7225135078486,1852.2428499096027,1875.7193740024468,1875.862098281829,1850.845367214635,1877.4804331294401,1876.1079066341931,1875.9736321750158,1915.5776815376985,1889.1437702116082,1861.831861636043,1860.2936519004572,1850.336928241392,1882.467165719642,1880.3120328186628,1850.6229318275966,1857.6648523934296,1875.8844944723485,1876.2906691756846,1921.8755495807563,1885.560336601978,1892.272293267884,,1851.7755259023359,1876.2288015300476,1882.856971187699,1850.2383854684672,1857.63401956491,1876.6834574657978,1875.8429436774118,1909.1699855462161,1879.9646812930496,,1876.3578927135106,1851.576116800716,1876.0903325877923,1877.8507577437913,1850.1421595655556,1857.8689699076442,1876.1928987982647,1862.9052737746085,1894.7868892996657,,,1876.1655199039478,1850.4596465962054,1875.5951973773451,1877.5592061715258,,1897.1754881743122,1875.0436750404099,1861.9574355125467,1876.321904683133,1891.2366240898025,1866.2299863171236,1895.185408482009
