district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2015_11_01,2021_01_01
PUDUCHERRY,1857.5124624117502,1871.487227626658,1872.3151876477605,1877.2066815549415,1885.0812383369862,1876.6518632750094,1876.830583569808,1866.7675339126529,1864.8189230040102,1874.6533153781334,1854.2067702229374,1848.9204129332163,1878.7741429858834,1873.1807105247995,1872.8213274988625,1866.2065652444744,1865.6470568966865,1878.9087449502206,1874.0762408028293,1865.652183418067,1875.2911705512136,1868.3467240241116,1847.2422478358849,1854.0885391311265,1871.7837935301372,1873.4027405055383,1863.5964136372727,1866.7275766521525,1874.3481651189932,1873.7201314918684,1864.9321359630521,1877.8693945279115,1873.1497031133479,1850.5145428486576,1849.9467807829371,1857.7766488122172,1881.195045252229,1872.2205342328136,1859.3479232099655,1865.092023870412,1878.3210889609556,1873.319258571375,1865.5840820991734,1865.2684160309723,1878.3229941193504,1851.5095504812423,1850.5803442752167,1857.2539300859378,1873.8928484016983,1874.25256655831,1866.603504630793,1911.841199096566,1875.4717437185222,1874.8086999820043,1877.5184286386445,1863.4828174361144,1874.4971235208664,1856.56393342265,1850.6318023547014,1856.8040774508515,1876.0546406496778,1874.241355372999,1860.6181841447356,1910.4541456997024,1878.4066518525606,1872.4322417116277,1866.5028236968908,1863.6213485989676,1876.751817316429,1849.3669676686552,1849.7071155549177,1859.226895235882,1872.4704591083087,1872.0310482375692,1877.3458248618133,1874.9971422471376,1870.0865981966967,1874.3561573052539,1864.9403937556667,1865.463922947582,1875.0057314323271,1850.703646090984,1848.1635637008874,1877.804982363021,1872.9035286978547,1861.4707956230131,1865.6827742745936,1875.5372835915011,1879.0702440889472,1867.4026457152765,1875.4159180112858,1873.8986300465838,1853.5351044558333,1850.849537643808,1854.0089948491893,1873.6280242739767,1874.959920274483,1864.5013402841225,1861.146828164593,1874.3485264305023,1873.7469489506846,1865.2279122263687,1866.6296467540917,1874.348185855635,1851.2582771038465,1851.1300502909132,,
KARAIKAL,1868.181258636298,1879.875837174299,1879.7404062140636,1864.0419141116402,1866.0312995508139,1834.4156402849626,1853.7128751477599,1863.4482928605157,1865.490887330385,1834.378963234388,1855.084038115288,1850.298878068941,1879.7758645295305,1879.5076196941172,1879.032503639818,1863.7694052351435,1859.902854862265,1880.2081903925157,1834.5303364157874,1865.8651561865747,1865.6997383817757,1846.7491394532942,1851.0210332517659,1856.9796405793159,1880.0445228705273,1878.6704354579576,1867.663761009417,1867.315616666109,1834.2894779686421,1880.1439274054703,1863.3560128743193,1865.0455715620064,1880.0527718054984,1855.3246333624775,1847.7714212139153,1857.9461092480299,1837.2926448388368,1877.9880858057466,1859.133332359923,1866.9837308619485,1879.8471683802752,1873.7453264839621,1863.7711616556774,1861.319321759898,1878.1634600499885,1850.542980474606,1843.0452713351067,1857.4171923845488,1879.7958091368453,1877.7752834194055,1866.6772086296583,1869.2618457109186,1874.6114324275634,1880.2605795081108,1879.1898407501908,1860.1401417513941,1837.7978924762,1850.3262501888769,1842.4527310403114,1860.0630785044752,1849.627900516779,1879.584614425633,1862.7689365208378,1868.7598365659144,1839.0611201513148,1835.939172672393,1867.6461650378112,1859.214849601829,1866.5034038343151,1848.0569886700364,1847.1114890372107,1881.9023817422653,1880.0631631355386,1880.0974424180604,1866.5647684776313,1866.0545751352852,1833.9195672825786,1841.4245134892117,1864.7444736254777,1872.8106834523114,1835.7784593239264,1842.1809349581126,1849.293119048072,1834.5482347723043,1879.7888743799833,1864.11483550907,1864.9280171938972,1834.8417772808714,1835.825684476365,1865.743822067714,1863.821855714056,1879.7568703749257,1856.3874913997965,1847.5766292529115,1857.0049226534766,1834.5489493072441,1880.3891740265392,1866.3393838560687,1863.4656098529713,1835.2677727065764,1834.913114009348,1866.090211191768,1862.5480126399368,1836.7765452016326,1856.1436818387654,1848.4741129684842,,
MAHE,1854.9907540251502,1879.747522757866,1880.0984616770027,1866.4323586628827,1876.6370783748766,1865.899448055182,1834.2519071623524,,1867.456924170182,1861.7859596108926,1851.4858775919358,1853.2427005259883,1854.933727373761,1879.0234003277908,1879.8861703426962,1871.4771934720861,1875.808586857734,1881.9515099935118,,1872.3564329032326,1875.8046119341134,1836.7404800114514,1850.097923224816,1856.7984474623713,1880.3195285390552,1877.5792462581603,1865.295148448893,1876.6072237734406,1868.3039770516823,1871.20457592013,1865.5050965538019,1876.4607272028277,1879.747522757866,1850.2690689567548,1850.2036999578672,1857.542719188172,1880.6060053713327,1878.1395271176714,1904.1183817077292,1888.1753537357226,1871.0080339773276,1834.7859008794992,1876.0959728990724,1863.9117091523594,1879.9814820372906,1849.689421795205,1849.7148196463256,1858.1885039739984,1879.747522757866,1879.7970056174488,1865.296544844144,1872.2111363003578,,,1866.1796709827686,1863.108194137877,1879.747522757866,1850.6399810787216,1850.0875011191429,1873.3238684212736,1879.747522757866,1879.806012577722,1863.9749887542484,1875.464874963995,1877.7339108601386,,1876.788132901896,1862.868953672542,1879.747522757866,1849.4006293925977,1850.887844290583,1852.3606211848883,1879.747522757866,1879.747522757866,1866.5646983534928,1866.810042424644,1875.6626486642767,1834.079246140155,1863.2282754614566,1869.6632070643157,1879.806012577722,1851.2835072885782,1850.0744011845313,1880.5281283656504,1834.0169211041202,1871.4386461430463,1874.3263108438161,1879.9223815158502,,1876.9762661116272,1871.386564025617,1839.2058857466072,1857.5256835237028,1849.7914637549743,1858.4676038815223,1879.747522757866,1879.84871250614,1892.6848961335918,1875.363436758057,1865.5250049135182,1879.744205259536,1873.6565038697508,1873.2523748187177,1879.9522371273624,1851.0512130406332,1850.3431055851906,1845.9487311953444,1853.7566200216427
YANAM,1850.2070938601198,1875.3940798670294,1873.07898207128,1862.8373005697108,1890.2066112209031,1888.0802073818254,1866.5186110179477,1863.4707321891913,1873.8363595147232,1856.967449608465,1848.7764293365003,1852.6489859293554,1852.4719280759143,1870.5272934238167,1871.4816882133068,1865.4622123455106,1869.1470355550302,1868.835106766118,1866.7516304544888,1865.3588591240275,1873.7756339252905,1854.5931125871323,1850.510512356885,1852.601608949731,1875.4906732856095,1870.3146173448106,1861.0582406945266,1893.5021236168745,,1862.0426750171296,1864.8134136284334,1877.5676949467957,1852.146406386933,1850.4820543776743,1849.0122345382738,1854.2173303034542,1875.724011704403,1873.1105917719233,1869.4821302616836,1890.019048747342,1865.3636663316786,1867.286383852316,1864.103650872576,1876.9816532411294,1854.9350251280546,1851.6761035654613,1850.6207310594411,1854.4030679291131,1868.872523861593,1872.8597525652508,1877.5149432483618,1884.1113236057904,1891.6481377911518,1865.5190465596459,1867.2991706988096,1870.303346266161,1873.5919191443459,1850.2010512697498,1850.1507183890249,1850.0373306638253,1875.9473594600888,1871.6809926444957,1862.0940478306093,1891.658645765661,1895.5291509266028,1867.785719812059,1860.5963563255752,1880.97506191965,1869.8359171779177,1850.2501766164964,1856.4588404580754,1849.0596966566375,1877.3496092829998,1871.6009004474965,1859.500585263728,1882.5270598304246,1879.475164623803,,1864.15171559011,1873.6189526552341,1854.44993110206,1850.530166443031,1850.1011568166764,1872.582399832993,1872.800665892022,1863.883919312826,1887.5884460700006,1878.324467134476,1865.3155933159958,1863.2225330166712,1874.329067382336,1856.861629197077,1850.0069641077491,1850.1535203293565,1852.3521058650756,1870.0140710530222,1871.3222662056835,1869.9247591259475,1893.1422238617924,1867.9790852009105,1865.1073291778953,1864.484575308649,1874.13821453307,1854.21983104066,1858.180447361745,1850.2103333908842,1850.8558939696463,1853.2489958803574
