district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2014_06_01,2014_07_01,2015_06_01,2018_08_01,2023_07_01
NORTH MIDDLE ANDAMAN,1850.555412756371,1875.9266299556841,1875.9466452228726,1871.063588429938,1878.9527428152578,1873.9480724763225,1884.8406254758752,1872.0610249342326,1851.0901830473665,1850.9727746228198,1851.1298259462703,1875.9951184200547,1875.926376736271,1881.307348992424,1877.7352172964443,1865.1383717303377,1867.5234657479257,1868.3085692192037,1878.4784025462973,1851.6915525018537,1850.816315135117,1855.2054938138879,1872.5478646269235,1876.0765680181155,1903.6751114887816,1888.6234002932954,1870.0872912805942,1864.2622998762124,1878.0327653593718,1862.459618319197,1868.980792729236,1850.4171421912417,1850.3330368348286,1857.0730667237244,1876.2055891574344,1878.3288830169995,1864.7395390799568,1884.313015250441,1861.9903818818138,1863.0983636897736,1869.255361777512,1891.6655949894603,1863.343481945476,1850.6356682846874,1850.371141071227,1857.8829825175046,1876.4971049801222,1876.5448393766787,1864.5314769978402,1880.9029563519655,1863.5170034694845,1867.6755617699453,1872.4198121804532,1876.715446847826,1851.1368053499953,1850.4245096767656,1852.404937342393,1876.4536652441793,1875.993142777874,1870.0496372842315,1881.0653674431421,1871.1465894226621,1862.110771967353,1865.7803512492987,1866.002603769784,1877.5293037849601,1850.4759121392515,1850.3310750731125,1851.6224168710578,1876.4958906645218,1876.0764532225453,1871.0072512391737,1878.1913484572415,1865.8207267026144,1862.2617001215754,1870.2362428657843,1911.2011433360253,1859.3001849789107,1852.937694379344,1850.8734629427192,1870.0041040539977,1876.0708581044341,1876.9884871855302,1908.560421868511,1874.3856798079944,1866.6406476252405,1864.55024579974,1874.8212051223502,1867.6582781815368,1874.049890663898,1850.738064053115,1850.249881074643,1855.2378251571577,1875.8334263531533,1876.0036610663276,1901.588316055216,1894.4494092825357,1863.7825169091623,1858.6636172723095,1864.4289073328944,1865.6767670197908,1871.3114162369259,1850.6394219254444,1851.9112170538326,1857.3658952621877,1875.8761491459902,1875.6998316584181,1864.5912516040412,1886.9347514398444,1862.7120812763371,1871.401238690641,1868.3902429773066,1862.6377247656637,1851.5031570165818,1851.155074245995,,,,,
SOUTH ANDAMAN,1852.7884496334311,1875.8176197353937,1875.501225437524,1875.3988892469733,1882.3697319873177,1871.3444642229178,1918.6934821306302,1873.6919190669246,1848.685627223036,1851.7598912584176,1856.2423395672884,1875.6072863284999,1875.5712184309718,1880.880196876571,1876.399716301083,1872.4555410044175,1865.345479783879,1871.0384907442385,1875.2693115590032,1850.722968907272,1851.2705243584107,1856.2210363680422,1874.907997126818,1875.7466951574588,1890.572546209984,1880.9736180933187,,1874.4309317514287,1875.9688471032623,,1875.8707833911578,1849.6454387650615,1850.2045197838377,1858.763668741437,1874.8122822544783,1876.7127245223985,1864.4260234443548,1882.6926908133541,1871.0868349512666,1871.8172289145673,1864.2440415490044,1913.0083894357745,1871.1736471768327,1850.7331662281667,1850.0733021806777,1868.9792078507965,1875.8361633821503,1875.9249941715361,1864.3831004418682,1871.0474157033311,1870.9966150323337,1875.296713299427,1863.7522571941156,1871.7553359579736,1850.7124544160752,1849.9260659113122,1853.3227292250897,1875.7137755105343,1876.8565543939385,1868.2025676205951,1871.0987383020665,1870.7472585636067,1874.9479797961744,,,1876.7520080915017,1850.2375384516454,1850.8693321357548,1854.6055407334047,1876.1459001793078,1875.8777690877005,1869.4339387055693,1869.9410561141776,1867.2564855679432,1873.9160590145252,1870.4923011913984,1908.4641093279818,,1851.1476423121703,1851.3983099902694,1856.5482406027768,1875.0475509037997,1872.9066749423691,1894.603785565478,1873.4134440100588,1861.7230529360993,1872.6343310962313,1866.2448456067063,1862.1986264940715,1878.184080160062,1854.4042458241156,1850.3244509773604,1855.4916617022448,1876.0405618376776,1875.1615286039917,1889.6968571507505,1884.046128958998,1869.857254781922,,,1866.621477233562,1873.30082713482,1850.8476847606403,1851.4654259117438,1859.9871970852912,1875.686270707296,1875.540505025156,1864.8383959787204,1873.3753885358967,1873.4760510958286,1864.8702159508393,1866.336655648154,1871.6603471356684,1854.1414890296635,1851.4847595921965,,,,,
NICOBAR,1875.4983394376939,1874.2775179670089,1874.5818684984206,1868.8484744065017,1865.9597709232569,1874.1377230180829,1874.2692843597192,1874.4427261679507,1861.2866356061766,1853.398121040842,1874.376839588273,1874.3665237031,1873.412445754786,1866.6702775218755,1871.549029931137,1875.3542448095284,1873.4354529187092,1883.318153078131,1873.9884479916611,1850.8747022667349,1853.1073492348355,1867.215041861539,1875.3354761876792,1874.6853264992067,1868.697817493076,1874.9416654102567,1874.9730295137667,1871.5450372017478,1869.8008808695006,1890.8535658233411,1870.845964542195,1855.4858787232322,1851.1063014143213,1871.6823029388906,1873.5170065037255,1873.8246038633486,1868.992903798526,1866.29820690566,1874.8468817242085,1870.8214728179191,1870.952486654411,1868.987630991362,1875.3096612200204,1854.4298633922172,1852.127833769685,1872.2297899675345,1872.457091731074,1877.138123189016,1870.1814818622925,1866.3518855687398,1871.1923773153578,1872.5405152623161,1870.9155020776254,1869.4205010791757,1853.5803874695828,1853.8440084584547,1872.708320466813,1876.1553554377388,1874.429204886537,1871.515787201068,1867.4150626574437,1873.4902049420098,1875.3387779184052,1870.8089746389853,1888.3682052125223,1870.574093124997,1856.9926789547515,1852.29669228322,1876.5251653044709,1872.5808477538724,1874.0484871888202,1867.5081998916594,1874.6619645227963,1876.0795011376597,1874.197431070025,1867.4197939760963,1879.2341952414056,1867.1486162047318,,1851.4719270027663,1874.8044842090217,1875.037652123843,1874.7856592233927,1865.3001806553611,1865.117037899407,1874.1169569056058,1873.1536462239276,1871.0943997120614,1886.9540357392216,1874.718175715568,1850.9477412632757,1853.4697876046591,1869.8112845476476,1873.063527450827,1873.814000037843,1866.6594908698828,1876.5776374627733,1871.1925544182056,1874.433385254156,1869.3872379960837,1883.9944011544026,1873.4769897933782,1850.918830871771,1853.8939274336315,1867.2935862906713,1872.8702187507163,1873.369775352299,1869.5589941319645,1864.2150405748066,1867.1521830657891,1874.8327192179302,1889.1114718971646,1874.659659483565,1873.5404774942479,1853.7854690665895,1871.531841076075,1872.3314235205678,1874.0526981656594,1874.2758075750007,1871.2803592159398
