district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_08_01,2018_09_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_08_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2014_08_01,2017_07_01,2018_07_01,2018_10_01,2019_07_01,2019_09_01,2020_07_01,2021_08_01
DHALAI,1893.0845264266354,1875.4031161764217,1890.797613038618,1889.7517544400207,1917.1172731710628,1900.1127255817041,1900.5489709586507,1882.1222346894685,1874.5967302619788,1891.302868137993,1893.5156945685849,1891.3737560221537,1877.0961332866798,1888.901318578489,1887.605848670683,1913.4507445165873,1902.1757531834153,1903.6618194301022,1935.2089731115404,1890.8781227277207,1874.9847923980958,1888.8110255671002,1891.1888258053202,1892.6267816108473,1878.2980526008773,1886.4786934444373,1889.7980060534283,1914.8133688824973,1893.767030547217,1900.5271976030058,1883.3585549124266,1877.4061292773747,1874.7908684950687,1893.2503574222435,1893.5655791083436,1875.8107128583931,1878.6884322790936,1886.5158533676456,1884.5010113929925,1909.731430689497,1888.182240573686,1883.263857946697,1881.6843886654365,1887.0023946122535,1888.7608131124914,1893.3801733308726,1874.4124760489628,1878.640616997912,1890.0061456834703,1886.5789754351583,1919.2185740922962,1894.5664637261705,1883.25436751026,1886.1026719544896,1892.7491069756104,1893.3167211437085,1874.8138581073522,1876.503611340077,1885.1043552241467,1873.9307305330806,1917.776368794908,1895.0372835636247,1885.1020659359428,1874.3919028352739,1888.6917565337085,1892.8409741208302,1888.7535078989408,1877.405310453287,1876.3803414380602,1878.5897920552864,1919.559216468472,1888.38938700518,1890.0434963970542,1890.127572882214,1874.6791772653996,1892.7086697299796,1892.8709674391976,1893.4440484936495,1875.8704865214356,1884.6375489645404,1890.08202774177,1912.196026307319,1899.4757494710088,1906.3184161939605,1889.8912662755895,1874.4517894692037,1888.247127325345,1892.6767089860796,1892.4376587306967,1878.293064290869,1890.036351745471,1886.2691791011016,1922.1669139302485,1899.3571474290525,1908.9362573783421,1884.2789939702654,1882.2427798175213,1875.7747004631597,1888.3290084448422,1894.0334922858215,1876.1894094278991,1878.7411942952144,1890.2484492369442,1874.2079242237157,1915.4052431767168,1897.307984356416,1908.0484560458294,1890.205888143979,1891.141584868959,1889.2853865927173,1891.761799234269,,,,,,,,
GOMATI,1883.3459896047264,1852.1435609682442,1876.2762262738868,1874.8558744934712,1924.2196110878465,1892.9490578813818,1895.8382991242693,1859.0422140850023,1851.7274383503925,1876.9238590856858,1883.4797961428314,1881.7166563182334,1854.8334355600316,1866.0648047173286,1870.9368931642512,1914.8811549822583,1895.9231301818356,1896.141878210641,1924.490245490546,1868.8346502381596,1852.244446705808,1875.2056601948025,1880.7636854198288,1859.767969355621,1856.5190581864074,1863.4537357318688,1873.4347272609368,1917.670724550441,1894.3740620247843,1887.5839796255004,1863.8134701292602,1861.399838672833,1850.146939521777,1883.475434582743,1883.601932264599,1851.8675372241332,1857.1681663911236,1876.1560124511452,1865.5989109762018,1899.2029281151229,1885.5059028693188,1865.729678068809,1870.7365125721278,1849.0385155971094,1874.9443525043941,1883.5691159383703,1851.1860046540924,1857.7502942776118,1876.1250635441068,1875.0481075184048,1932.9680919378877,1895.2462075893618,1865.8475496108258,1873.4942580512472,1881.2180740446192,1873.5213553001822,1852.71692539222,1855.2196230389934,1875.088418893439,1859.4031225081605,1927.5628640452042,1894.9486270584407,1867.4569526231614,1850.4165360988882,1874.6938242031174,1881.7242291817145,1878.6295908090574,1855.2036847887284,1858.324689013167,1862.3523937895054,1920.4435556951296,1883.3526818178611,1879.2161234663213,1875.2886357010952,1850.2776069278127,1881.2429469635683,1882.5936127443604,1884.130697133039,1852.427985086608,1874.2270936379862,1875.3386615796896,1914.794509882624,1894.2779084939677,1898.2649015147663,1873.7138263494649,1851.3205512885668,1874.059840305872,1881.293416311621,1856.5276868661183,1856.5512608160238,1876.0346965630567,1870.3686102749712,1922.8634758818446,1896.0439939294686,1905.552026026665,1865.6449819511715,1858.4643114085018,1856.1214891835925,1875.050639106259,1883.4165952886428,1851.9142153237306,1857.1731076117328,1869.9435443572643,1862.313564185301,1922.5361359213637,1888.928853987462,1908.0620516232543,1875.2075289517275,1849.7386782738615,1874.5292885858337,1880.8451093086783,1906.8960775857413,1895.5287689741842,1900.9008760111365,1847.543719051191,1901.602290069366,1862.9469942749802,1889.9060173228868,1874.1658938948117
SOUTH TRIPURA,1883.6985670030883,1851.8807127607558,1874.292270110987,1873.8279342426663,1922.2673161179646,1893.210346513176,1893.0015596316357,1864.8916955127097,1851.9343594227478,1877.0114351739858,1882.8081360309297,1881.523096581858,1855.140968751384,1875.0227346957217,1873.4611057103314,1913.233010225826,1896.1528582322999,1894.072850246338,1928.1999865048203,1870.524039779979,1851.7838562986733,1875.5217310912824,1880.8424015502344,1850.4251604065971,1855.830640497466,1866.563514858627,1871.9870738523268,1918.566566804657,1894.1194991940827,1887.6533147436205,1864.860823243777,1868.1386448094136,1850.057295613724,1883.1659058708856,1881.3514145178117,1851.7565468304626,1856.6838060365862,1875.4934200087991,1866.1179290447517,1900.8905826040464,1887.9445609636323,1865.784691269695,1873.0266346820747,1848.7725149361356,1874.8294523333414,1883.3640666116269,1850.9053408990617,1862.1606051374233,1874.8050062190669,1873.5664357000956,1934.659029937849,1893.0321796797475,1865.7923572027094,1872.3609512848536,1880.939733460613,1871.4214357652086,1852.9164620609477,1855.2311008324864,1874.0284165561782,1871.2220207572402,1926.473844409134,1893.4710806884568,1866.5984551120255,1849.649104000332,1875.087043572503,1880.009157194526,1879.6925822219084,1853.8004412984678,1863.7179674273677,1869.0104445183779,1918.5751628542087,1879.8883252133212,1880.009757573064,1873.3436828151805,1850.11611905835,1881.8663082650964,1883.2847686027794,1882.9187993739422,1855.5218380653953,1873.9076038224161,1873.3986485022622,1914.1690606112504,1897.1818746122021,1894.0555809346895,1873.294717986704,1851.1043385801263,1874.4968996365815,1880.6217432338751,1850.36171034624,1856.249723146188,1875.1733408396296,1868.1789683513362,1921.5482855901648,1895.1849160016716,1898.89584178145,1867.1167462688938,1869.4807043820826,1855.8772645025995,1874.4914379539516,1882.395785711814,1851.7871503578172,1856.8025225970346,1873.2232897861732,1867.7217152986248,1926.8441258241703,1889.5421872887134,1908.1705315624642,1873.3102928235705,1849.8365050445532,1874.701837402488,1880.4874319836301,1907.632599185722,1898.832747678673,1899.3283817591848,1847.231612423219,1891.373384705045,1868.26949304221,1888.3648289731032,1865.8988728787285
SEPAHIJALA,1876.0245824228057,1853.1390618230403,1874.7720432205767,1872.6490050405548,1923.2728464432953,1892.602228950673,1905.9777424249219,1870.5764545670513,1872.9003812935023,1874.2085870994283,1878.1991166794498,1874.8498975514487,1847.6199238401532,1875.5870133013614,1871.5942368347733,1918.168592920373,1886.6008802337622,1921.9450035359137,1893.2475531041496,1873.2920718977352,1871.289118722163,1874.9123292233164,1872.116235198624,1850.3666918219606,1847.4685832250561,1868.0721816841967,1867.7713235314916,1925.0538287185266,1888.628654613515,1886.9003216090255,1867.0854688961697,1865.6551819172382,1845.366668360526,1878.74679712763,1875.9534570754374,1871.6972932732197,1852.7729110512557,1872.2877111769487,1867.057127920344,1922.438268245267,1888.3919750710882,1866.2401107558944,1871.5490037284367,1845.0013967454445,1874.3170978827077,1880.3205525163748,1868.0488152166542,1854.516948879841,1875.0555846924321,1871.4219441279142,1933.7141582492375,1892.291960327426,1868.013991208199,1866.872736818276,1878.0291446857782,1872.9450547212314,1873.4118635978052,1854.3982378463163,1872.995613448579,1868.8574977902545,1925.7546179784313,1887.9596654954455,1877.5920393988774,1875.1304844284628,1872.3750734827115,1873.537229567793,1871.7476670100293,1854.3669548012692,1867.8439754162807,1866.480735466964,1923.3528909846689,1890.4952582861565,1873.6611919274833,1872.4321156085903,1844.5282284889197,1879.124048063893,1872.8579814559214,1877.88657172261,1847.9572034103242,1870.6076944278866,1872.7094115039733,1920.786178776164,1885.8690181460827,1912.946223457808,1866.6554349324654,1873.9447129675434,1874.34609980242,1871.6897989812257,1847.0968405246397,1847.4340556553498,1874.9783744409874,1874.3589970329451,1924.2475336641603,1895.8135469054748,1903.2981233647706,1866.588737317089,1865.109525551988,1847.2856358274846,1874.4464159643364,1880.4609025443694,1868.5873018144846,1850.9613609905966,1867.5259534533086,1865.8595030029721,1921.8001384568797,1889.9936334287204,1919.1217437307089,1872.733749718133,1844.5908862323015,1873.6943408905315,1870.8810877303429,1902.2990196557046,1923.1380951852204,1899.3981451897241,1847.390156074971,1904.8279170857693,1870.516542696837,1890.2970677938774,1880.2462856627371
KHOWAI,1881.142242285611,1851.9165375006037,1872.939071943464,1870.6390662827419,1928.2868368848287,1893.15997819197,1894.367129584104,1873.6059765528616,1852.086835959521,1874.1995187103917,1882.0413211212742,1877.8202591241113,1854.2862462909563,1873.7077910466999,1871.3447587924093,1919.05775835747,1894.586573790702,1915.7050637103323,1914.2053808027374,1874.693500618062,1852.4743172699202,1875.2870798152435,1879.3351378721254,1878.085227886211,1856.3353710309011,1869.6568969333398,1876.861815473543,1917.821081917006,1891.1355304373405,1889.3725646579426,1865.3900285454556,1871.4650902393882,1849.845098634208,1881.3758444259884,1881.469765026141,1852.3521639608894,1856.8391684528083,1873.3308647885103,1866.84151332083,1916.0603062195003,1893.3528582609092,1865.414550075834,1874.5259885431865,1851.8853519159682,1875.143417333428,1881.9122328111798,1851.4882844124986,1856.5047382988632,1873.072252553054,1872.9164065385514,1928.3945210264367,1891.6180236218597,1866.987361255398,1870.9511203042123,1881.9078388753153,1873.131574839239,1853.1143201594039,1854.0703808784008,1870.3542447843558,1873.2104868073054,1926.7902125696896,1893.323062260078,1876.2099724977572,1852.1066886116428,1876.2011052562684,1880.3830352297691,1868.7267997895735,1855.4631152286572,1870.743278022984,1869.3322431859526,1930.381341362724,1893.2160653395688,1865.3397241945913,1872.671486277025,1849.833225554447,1880.5200176846731,1879.2679927273225,1881.328334034907,1851.8841363756214,1872.0929331437853,1871.975682252154,1920.9633246294613,1894.5900015144312,1918.451049025531,1873.3392362676318,1852.0884007517798,1873.9804395480649,1879.023600220896,1876.7749367136705,1855.6222183827072,1872.961648322209,1878.4896586970985,1920.464603431263,1907.049340303039,1907.4503505625537,1865.3297334044953,1870.1956545393925,1852.826057250911,1875.165369194605,1882.8062974565862,1852.3526825452257,1856.4747037632003,1873.1494621155741,1870.9023111186632,1923.0407113310189,1892.8908426257046,1908.936948328152,1871.427030267536,1866.0879671134935,1874.5002238632446,1877.4535468750473,1888.9029998167878,1925.3666443941584,1910.4036916155778,1847.255586360965,1907.2229236891274,1862.4753629497416,1901.8607123289728,1869.2093566044261
NORTH TRIPURA,1879.4563221108126,1849.5949678224897,1876.9179706001803,1879.2381953403471,1924.1426822792373,1893.098596690738,1893.5950150159338,1880.1133935363064,1850.2129097899485,1881.501295457562,1880.0572679800896,1876.956690272001,1855.1528475164555,1879.0953605880122,1849.4530749822604,1913.0991281118393,1895.9603270304412,1904.0687706002743,1934.1795850761446,1879.4045967479967,1850.6812615692693,1875.1193712187983,1876.6554954477372,1878.695349336319,1851.9165103286164,1861.1873683729373,1874.169431460162,1921.1763992141375,1892.1866640157446,1885.6950169286722,1869.6114083547905,1862.8013055865326,1855.2123736505673,1880.833689392413,1882.0520705337537,1880.0745851946836,1856.976854346867,1876.6606106792685,1868.220771380237,1915.9693962757995,1902.1970055943748,1863.1097696655283,1836.990389495211,1881.7030289318297,1875.3594518438001,1878.5746241672457,1850.3757019719314,1856.822938339089,1879.7868863524639,1875.2924765219407,1930.093722470767,1885.288322591637,1865.558404474711,1878.507209517329,1881.9924686918646,1872.3565145503,1850.721313509755,1851.3765345628626,1858.4237529696168,1834.5783746020622,1919.4504182819817,1890.9267110578046,1867.1917527291012,1850.2046280373206,1878.4057749287185,1878.5241719525156,1859.0478445227134,1852.0477409841376,1863.985625781242,1870.5692529982193,1923.91049533199,1878.6571419935447,1885.6323840389903,1880.217292155291,1850.8952338541244,1882.1974483834704,1878.6952835679235,1879.2897574623607,1850.0312230138052,1863.3237592116932,1879.28905326358,1917.4642640211043,1894.8388038037413,1911.3528486450589,1865.1091688485878,1850.4169509380922,1877.4166475229424,1877.891104686679,1879.0392942880267,1851.709815753368,1874.1914451702285,1868.612757998588,1924.468579800019,1902.738015765211,1909.0296596950661,1869.668924205271,1867.7688327373703,1850.8614273818118,1877.5681562553696,1881.8011296854531,1877.4500080228195,1857.2009027190165,1879.7811715148298,1834.5143700922408,1918.607273686373,1894.6358372446823,1909.1614720408963,1877.0202719204801,1880.995662342805,1881.1440701063455,1876.493839359659,,,,,,,,
WEST TRIPURA,1876.331882422307,1854.563777091849,1875.5590666678893,1872.2574510509946,1923.7851940919904,1900.971242725673,1906.9802097564682,1872.4133261424126,1872.626983305454,1873.5980008499319,1876.320518452506,1872.6696049982377,1852.3249726444337,1880.2632610413,1870.6629324853736,1916.5214189960684,1890.3356402435372,1930.3393903597691,1882.9208584970738,1871.1659446677745,1872.4212859706904,1874.0039924938542,1871.1747612536205,1858.43247562494,1846.6675913426614,1868.884035934784,1868.6125506943208,1925.4791089936332,1886.9602818867518,1893.299868613187,1866.6294924705628,1866.0317740203989,1844.1015777010052,1877.310509213561,1875.357912968717,1872.8702055714652,1852.222908861093,1875.3131926958902,1868.221393183821,1920.8719343786333,1892.3341352435161,1865.639171148045,1870.2109195741898,1844.7257767577971,1874.4565438028246,1874.419875100114,1867.1754198293193,1852.46705821438,1873.996281799863,1870.0488558709965,1927.7500492203953,1893.38410080166,1873.4108464955266,1866.9519926361393,1877.6925078097677,1869.2022573484508,1872.2753987242158,1855.046503943825,1872.0093946664547,1870.7816885366278,1924.6246604404519,1890.4149848736822,1880.1743971870494,1873.531496054579,1872.6421865209627,1873.5986311111446,1869.398002632198,1855.5879664576805,1868.9152753512637,1870.0751418959755,1925.9690407386502,1900.4160457091273,1869.1004552586996,1871.385962982946,1844.2277004963628,1876.4927836846387,1869.8599014829538,1875.7068218770314,1851.353393813075,1870.8283795386612,1872.1872986041196,1922.1956178686316,1890.0063329751804,1929.7028651010296,1867.7348333652826,1874.186040164992,1873.4066537823176,1868.698120575643,1853.0762422374623,1846.4025700788666,1876.3771156073103,1871.3071821983851,1926.7681170451342,1906.3574245609486,1901.34053520777,1865.804255955267,1865.2906938794004,1845.1088409843476,1875.7244073752302,1878.0973048997212,1867.3656952587621,1845.0610749070868,1872.107008675074,1871.6492371475947,1922.92810762369,1892.0914209308112,1912.4779754103404,1872.3656286438027,1844.0823973255679,1873.6724042207447,1871.0876313489762,1891.3199688583127,1921.77917628107,1908.4656838312392,1847.6295966414934,1913.5708232265783,1872.945063941652,1891.688627321601,1873.0685070066859
UNOKOTI,1881.9230479991,1847.7728785387271,1878.6589582064857,1877.3034557957187,1931.4237290566186,1892.643665708693,1896.6696768926934,1861.3906425251632,1850.0913486339066,1878.4297285206196,1882.630290606851,1878.8250801476493,1856.049239284583,1878.3224434710412,1841.5225165026932,1917.7064450126836,1895.6725337446908,,,1879.4929033139863,1850.3946862434316,1874.7000048758962,1878.463111245323,1881.9576684888436,1851.9735717710503,1860.8091369916876,1879.435891347899,1925.736107366151,,1885.617549336544,1867.2380187527972,1875.6458366269937,1850.4547332350517,1882.273886293513,1881.951847264489,1873.3674125564705,1857.7471624595387,1877.9679911110727,1867.7407185971722,1915.9208342132144,,1862.9930645134848,1846.4482882442874,1880.5275856302217,1874.047810014797,1881.9337723920714,1850.6028832244222,1857.6303822769592,1878.3459497937595,1877.092629194396,1935.9542183044941,1884.5430033284736,1865.329369779191,1878.6357230202482,1883.5182641111217,1874.0892899994938,1850.7664057327788,1851.023675816755,1855.1339072864864,1840.601851515556,1921.203586104609,,1869.2846533017007,1850.2459979053895,1877.684513052963,1881.0849806477408,1850.4264654652895,1855.8962873580776,1877.9632471833092,1878.4975374756261,1928.9481119176937,,1869.4622328431694,1877.087778048686,1850.551366086053,1878.8709043107021,1881.8329860954639,1882.579590406748,1851.9181768887217,1873.6927069567234,1878.5791351731232,1917.1410627172163,1889.6521960286825,,1854.342968618332,1850.2005927489183,1873.9495692423875,1881.3680265371863,1882.235074471608,1853.3558973954352,1864.9222019465842,1873.9628197967102,,,1905.9741365819332,1865.1021523893849,1874.252640251476,1852.2498311519767,1877.7459329492008,1883.309076736603,1871.4198866634467,1857.9359273469347,1878.7891443786493,1842.271280184428,1917.9831598382998,1895.9340729116545,1912.6034717599875,1879.13969188187,1882.383985955263,1879.9882193986984,1877.5566594269903,,,,,,,,
