district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01
SOUTH GOA,1851.8797191839194,1873.2542720889182,1873.2682540950757,1860.8478187799144,1881.5562242859326,1870.2653167231977,1862.5253112589799,1866.5576132576448,1874.1704268240505,1871.946245588313,1850.8883184028705,1856.766002965313,1850.2359087100908,1873.4102696181362,1872.1442061961743,1873.1961792927177,1886.4152525263894,1867.011179313018,1866.9771938694755,1866.0254880334423,1873.831854669465,1853.197863964986,1851.3336771904133,1855.3453783645623,1854.0607392416423,1873.4185569235333,1875.6539237737431,1875.2109456824774,1889.447946108467,1866.5463829725018,1869.290960539412,1866.2546905916736,1871.733802359837,1854.0471933275746,1850.806159481187,1855.1198645481923,1854.998077029968,1877.904001938759,1873.2338259727396,1870.9242853531189,1882.8845907507778,1863.9392280085528,1866.7841798766794,1869.1072099563557,1863.741420222244,1861.9542522610739,1854.1277632341241,1854.32926124605,1852.5120167515354,1873.5207402442256,1872.902314991471,1862.4663288492231,1875.2270048711234,1876.1416951619105,1928.3311080635222,1870.5074940646953,1872.672944047454,1854.225367899931,1851.7823244903218,1852.6707594987147,1872.9474519657574,1871.9287378400522,1863.4114741375179,1887.6403229212704,1879.3087944285905,1865.5277302626234,1926.5635268535996,1865.9492593674101,1850.7419972629298,1851.9189959634634,1853.8322503456684,1873.1119369333296,1873.2064998774367,1861.3567051410373,1870.4067333927912,1871.552305692399,1911.638496483033,1866.5028316180628,1864.202953494057,1851.1541683883836,1856.276371670736,1852.8846148385876,1876.1574732917761,1873.1418674424312,1872.781373581934,1881.2471965678246,1865.7263100650846,1865.6551674464392,1862.4186688362288,1873.931971486928,1853.9661406888117,1849.5852932917965,1855.4103662369798,1853.6106411514904,1874.2677664595556,1870.4908082019792,1877.5009350101413,1881.9736221486378,1884.1368832373962,1865.8954986741087,1873.712021213627,1866.179227153172,1852.4427381682344,1854.663078415643,1850.5930930557263,1878.7898104702329,1876.084864199566,1869.4372580398708,1884.0606179519516,1863.3498964888404,1865.80129815404,1866.1290228179969,1865.4145917817302,1872.546201093095,1855.7206019257403,1855.2701412746765
NORTH GOA,1851.208277419368,1874.6275334742659,1874.502433483444,1861.2440133799441,1890.0455566259436,1872.7114479156724,1871.476787801549,1869.2087892244372,1870.7776385866666,1868.946425963677,1850.0455431627843,1865.7960323132775,1847.4477394964758,1873.2047098611326,1873.3165203847102,1872.3015145346403,1884.3290228862616,1866.6972401801088,1868.83308107393,1871.0670437129575,1875.036921801818,1851.4095382362734,1850.0535190476694,1864.3208192342634,1851.2109547749587,1875.8437873991327,1876.3143870774466,1872.8544632460419,1884.6532385213843,1867.6555099990355,1871.4164324652043,1867.648585645292,1869.3833936890442,1847.5130635035707,1858.5414273733547,1863.8077972109982,1850.5026876279903,1875.979191103463,1873.6716765123301,1881.5226263237394,1878.0533970031856,1862.8385310325702,1870.1865963530527,1877.0957268607888,1875.6929879982079,1855.4900693860136,1863.2381428973097,1863.1957514436053,1852.4767261076106,1877.554299503023,1874.201025716047,1869.5304571353006,1882.7444224262888,1880.3899074803394,1922.558629305474,1879.342676686999,1864.9147024229978,1863.976904429354,1861.442635771099,1851.9451322909217,1874.7223933108578,1873.9557084569124,1865.9599322140984,1885.6791351776144,1881.3766775763734,1867.6716333565546,1925.2912793867574,1857.9303889900223,1850.4671564646387,1856.178010759941,1851.78496468097,1872.7910698998883,1874.4560860836561,1863.3869429440972,1874.0303507306753,1871.840858479383,1924.5241550977355,1869.2720208414903,1852.5194325175005,1851.5026704593793,1864.2958908570533,1852.5033906357096,1876.0715715558981,1874.7702000512154,1872.3677414327942,1880.3540395021837,1869.451701315785,1865.4702979893177,1867.370522649803,1870.435190094353,1851.9544598541174,1848.6359547561394,1864.5420271284086,1850.3331072623293,1875.3681365570037,1873.0211988569076,1879.7661886626747,1883.722233597086,1871.5787031073446,1864.4180430735978,1870.8003672560444,1853.569563852649,1861.7534794004628,1862.775729719226,1851.1437850746524,1879.025192601119,1875.338614238426,1882.7683855722223,1878.668649106672,1866.340081997782,1864.7776988707715,1876.3585532628629,1867.7853264408186,1874.9947800790023,1864.8885552868055,1864.6293189802325
